Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
                                                 <spontaneous>
[1]     88.9    0.00    0.32                 main [1]
                0.00    0.31       1/1           CGSolverSparse::solve(std::vector<double, std::allocator<double> >&) [2]
                0.01    0.00       1/1           Solver::init_source_term(double) [15]
                0.00    0.00       1/1           CGSolverSparse::read_matrix(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) [24]
                0.00    0.00       1/5           std::vector<double, std::allocator<double> >::vector(unsigned long, std::allocator<double> const&) [27]
                0.00    0.00       1/1           void std::fill<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, double>(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, double const&) [30]
                0.00    0.00       1/1           CGSolverSparse::CGSolverSparse() [177]
                0.00    0.00       1/1           Solver::n() const [184]
                0.00    0.00       1/1           Solver::m() const [183]
                0.00    0.00       1/7           std::allocator<double>::allocator() [105]
                0.00    0.00       1/17          std::allocator<double>::~allocator() [86]
                0.00    0.00       1/979         std::vector<double, std::allocator<double> >::end() [67]
                0.00    0.00       1/1469        std::vector<double, std::allocator<double> >::begin() [65]
                0.00    0.00       1/1           std::common_type<std::chrono::duration<long, std::ratio<1l, 1000000000l> >, std::chrono::duration<long, std::ratio<1l, 1000000000l> > >::type std::chrono::operator-<std::chrono::_V2::system_clock, std::chrono::duration<long, std::ratio<1l, 1000000000l> >, std::chrono::duration<long, std::ratio<1l, 1000000000l> > >(std::chrono::time_point<std::chrono::_V2::system_clock, std::chrono::duration<long, std::ratio<1l, 1000000000l> > > const&, std::chrono::time_point<std::chrono::_V2::system_clock, std::chrono::duration<long, std::ratio<1l, 1000000000l> > > const&) [192]
                0.00    0.00       1/1           std::chrono::duration<double, std::ratio<1l, 1l> >::duration<long, std::ratio<1l, 1000000000l>, void>(std::chrono::duration<long, std::ratio<1l, 1000000000l> > const&) [189]
                0.00    0.00       1/2           std::chrono::duration<double, std::ratio<1l, 1l> >::count() const [134]
                0.00    0.00       1/7           std::vector<double, std::allocator<double> >::~vector() [113]
                0.00    0.00       1/1           CGSolverSparse::~CGSolverSparse() [178]
-----------------------------------------------
                0.00    0.31       1/1           main [1]
[2]     86.0    0.00    0.31       1         CGSolverSparse::solve(std::vector<double, std::allocator<double> >&) [2]
                0.09    0.20     490/490         MatrixCOO::mat_vec(std::vector<double, std::allocator<double> > const&, std::vector<double, std::allocator<double> >&) [3]
                0.00    0.02     978/978         std::vector<double, std::allocator<double> >::operator=(std::vector<double, std::allocator<double> > const&) [14]
